Type_annonce,Nombre_pieces,Prix,Adresse,Image_link
Vente,5,275000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4521466_uploaded_image1_1704043559.jpg
Location,6,1800000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4558050_uploaded_image1_1705941599.jpg
Location,5,1200000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548327_uploaded_image1_1705421550.jpg
Location,4,600000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4553712_uploaded_image1_1705680077.jpg
Location,5,800000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4553626_uploaded_image1_1705676691.jpg
Location,5,1200000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4550001_uploaded_image1_1705502900.jpg
Location,5,5000000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4557867_uploaded_image1_1705934914.jpg
Location,6,800000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4541193_uploaded_image1_1705050119.jpg
Vente,3,145000000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_4556543_uploaded_image1_1705870348.jpg
Vente,5,50000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4555924_uploaded_image1_1705839459.jpg
Vente,6,180000000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512345_uploaded_image1_1703402002.jpg
Vente,4,48000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4512350_uploaded_image1_1703402485.jpg
Location,5,300000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512870_uploaded_image1_1703445621.jpg
Vente,5,180000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511840_uploaded_image1_1703347347.jpg
Location,4,1200000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511094_uploaded_image1_1703294010.jpg
Vente,5,170000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4507261_uploaded_image1_1703073248.jpg
Vente,3,600000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4552192_uploaded_image1_1705596962.jpg
Vente,6,210000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4507112_uploaded_image1_1703068066.jpg
Vente,5,520000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4506507_uploaded_image1_1703016148.jpg
Vente,6,750000000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4506490_uploaded_image1_1703015438.jpg
Vente,4,36000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4506484_uploaded_image1_1703014331.jpg
Vente,5,300000000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512001_uploaded_image1_1703356285.jpg
Location,6,1500000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4508178_uploaded_image1_1703118225.jpg
Location,10,101010,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4504935_uploaded_image1_1702925101.jpg
Location,4,900000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4549560_uploaded_image1_1705489745.jpg
Vente,3,22000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4549247_uploaded_image1_1705481118.jpg
Vente,5,145000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4513130_uploaded_image1_1703479649.jpg
Vente,8,35000000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4513131_uploaded_image1_1703479871.jpg
Vente,4,160000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548853_uploaded_image1_1705452020.jpg
Vente,2,50000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4548382_uploaded_image1_1705424791.jpg
Vente,7,230000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4548208_uploaded_image1_1705416529.jpg
Location,3,150000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548200_uploaded_image1_1705416337.jpg
Vente,5,170000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4510363_uploaded_image1_1703250285.jpg
Location,7,2000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4545631_uploaded_image1_1705306892.jpg
Vente,5,45000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4502530_uploaded_image1_1702747319.jpg
Vente,3,125000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4543900_uploaded_image2_1705177367.jpeg
Vente,7,90000000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4541683_uploaded_image2_1705065667.jpeg
Vente,4,60000000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4540712_uploaded_image1_1705014615.jpg
Vente,3,40000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4540656_uploaded_image1_1705010523.jpg
Location,6,1800000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4497199_uploaded_image1_1702425006.jpg
Vente,6,160000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4540364_uploaded_image1_1704997154.jpg
Location,7,1500000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4498040_uploaded_image1_1702476971.jpg
Vente,7,450000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4540063_uploaded_image1_1704986246.jpg
Vente,5,165000000,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4500870_uploaded_image1_1702641358.jpg
Vente,4,90500000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4539365_uploaded_image1_1704970119.jpg
Location,5,850000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4495625_uploaded_image1_1702337013.jpg
Location,6,1500000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4495656_uploaded_image1_1702339399.jpg
Vente,6,210000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4496505_uploaded_image1_1702393124.jpg
Location,5,650000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4538114_uploaded_image1_1704895968.jpg
Vente,6,1200000000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4496317_uploaded_image1_1702385058.jpg
Vente,5,410000000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4496296_uploaded_image1_1702384121.jpg
Vente,6,660000000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4496255_uploaded_image1_1702382204.jpg
Vente,6,750000000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4496239_uploaded_image1_1702381644.jpg
Vente,5,520000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4496218_uploaded_image1_1702381082.jpg
Vente,7,200000000,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4496103_uploaded_image1_1702377842.jpg
Vente,8,240000000,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4496376_uploaded_image1_1702387031.jpg
Vente,5,33000000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_4537648_uploaded_image1_1704884469.jpg
Vente,5,85000000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4494877_uploaded_image1_1702304830.jpg
Vente,4,28000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4494868_uploaded_image1_1702304338.jpg
Location,5,850000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4495180_uploaded_image1_1702313886.jpg
Vente,3,40000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4536155_uploaded_image1_1704817087.jpg
Location,5,1300000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4494565_uploaded_image1_1702293197.jpg
Vente,4,134000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4534821_uploaded_image1_1704760937.jpg
Vente,4,150000000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4534702_uploaded_image1_1704754211.jpg
Vente,3,30000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4533587_uploaded_image2_1704713146.jpeg
Vente,5,150000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4497737_uploaded_image1_1702465351.jpg
Vente,7,165000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4531981_uploaded_image1_1704621640.jpg
Location,5,1800000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4531952_uploaded_image1_1704620170.jpg
Location,6,600000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4531667_uploaded_image1_1704588008.jpg
Vente,12,100000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4491685_uploaded_image1_1702069314.jpg
