Superficie,Prix,Adresse,Img_link
700,34000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4543658_uploaded_image1_1705161179.jpg
500,14000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4500987_uploaded_image1_1702645026.jpg
300,11000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4500980_uploaded_image1_1702644746.jpg
300,6500000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4500970_uploaded_image1_1702644276.jpg
600,14000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4500959_uploaded_image1_1702643822.jpg
600,14000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4500951_uploaded_image1_1702643618.jpg
300,8000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4500935_uploaded_image1_1702643241.jpg
150,4000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4500920_uploaded_image1_1702642959.jpg
200,85000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4542130_uploaded_image1_1705078112.jpg
150,13500000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4541630_uploaded_image1_1705063967.jpg
150,35000000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4541526_uploaded_image1_1705060188.jpg
260,30000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4540646_uploaded_image1_1705009935.jpg
1500,130000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4540597_uploaded_image1_1705007982.jpg
754,1250000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4497171_uploaded_image1_1702423740.jpg
165,16500000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4500895_uploaded_image1_1702642061.jpg
300,800000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4539314_uploaded_image1_1704969077.jpg
504,1008000000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4500315_uploaded_image1_1702597599.jpg
150,4000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4538107_uploaded_image1_1704895435.jpg
300,8000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4538035_uploaded_image1_1704892754.jpg
300,8000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4538002_uploaded_image1_1704891875.jpg
100,15000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4496123_uploaded_image1_1702378308.jpg
300,4000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4537814_uploaded_image1_1704887390.jpg
167,78000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4499090_uploaded_image1_1702545256.jpg
500,45000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4494836_uploaded_image1_1702303139.jpg
150,20000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4498301_uploaded_image1_1702485377.jpg
214,100000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4497942_uploaded_image1_1702474075.jpg
378,300000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4497885_uploaded_image1_1702472065.jpg
150,3500000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4497273_uploaded_image1_1702430346.jpg
150,2500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4509653_uploaded_image1_1703195928.jpg
300,75000000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4493066_uploaded_image1_1702167612.jpg
4500,400000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4493010_uploaded_image1_1702161979.jpg
150,30000,"Ndiass, Sénégal",https://images.coinafrique.com/thumb_4533823_uploaded_image1_1704718360.jpg
350,20000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4533648_uploaded_image2_1704714679.jpeg
150,12000000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4533553_uploaded_image1_1704712228.jpg
300,2800000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4533320_uploaded_image1_1704704823.jpg
270,35000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4532906_uploaded_image1_1704663152.jpg
154,80000000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4532645_uploaded_image1_1704652407.jpg
250,85000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4532561_uploaded_image1_1704648903.jpg
202,3000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4532557_uploaded_image1_1704648769.jpg
540,270000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4495073_uploaded_image1_1702310316.jpg
1000,1200000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4494640_uploaded_image1_1702296318.jpg
592,215000000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4494599_uploaded_image1_1702295297.jpg
150,20000000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4532041_uploaded_image1_1704625472.jpg
175,15000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4531557_uploaded_image1_1704579831.jpg
150,17000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4491688_uploaded_image1_1702069463.jpg
225,350000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4531548_uploaded_image1_1704579363.jpg
2500,700000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491654_uploaded_image1_1702067182.jpg
150,75000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491642_uploaded_image1_1702066626.jpg
251,125000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491646_uploaded_image1_1702066835.jpg
220,60000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491635_uploaded_image1_1702066182.jpg
150,30000000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4491629_uploaded_image1_1702065996.jpg
150,70000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491597_uploaded_image1_1702064915.jpg
150,95000000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491484_uploaded_image1_1702060067.jpg
150,25000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4491467_uploaded_image1_1702058986.jpg
75,187500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4531257_uploaded_image1_1704565213.jpg
325,270000000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4530944_uploaded_image1_1704552570.jpg
2,56000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4530922_uploaded_image1_1704552016.jpg
260,350000000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4530340_uploaded_image1_1704532705.jpg
249,80000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4530019_uploaded_image1_1704511185.jpg
300,3500000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4530001_uploaded_image2_1704505539.jpeg
170,30000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4489932_uploaded_image1_1701975776.jpg
185,90700000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4528803_uploaded_image1_1704459474.jpg
500,300000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4528736_uploaded_image1_1704458138.jpg
337,25000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4528582_uploaded_image1_1704454000.jpg
150,25000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4528572_uploaded_image1_1704453702.35.jpeg
150,21000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4527880_uploaded_image1_1704409838.jpg
500,20000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4526955_uploaded_image1_1704374278.jpg
400,19000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4526782_uploaded_image2_1704370241.jpeg
158,23000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4525869_uploaded_image1_1704318867.jpg
150,40000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4525867_uploaded_image1_1704318782.jpg
150,16000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4525677_uploaded_image2_1704310306.jpeg
150,3000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4525297_uploaded_image1_1704296385.jpg
300,5000000,"Malikounda, Sénégal",https://images.coinafrique.com/thumb_4525288_uploaded_image1_1704296090.jpg
150,4500000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4525269_uploaded_image1_1704295499.jpg
1000,1200000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4489340_uploaded_image1_1701954043.jpg
150,3500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4524993_uploaded_image1_1704287494.jpg
300,2000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4524780_uploaded_image1_1704282590.jpg
150,6000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4524466_uploaded_image1_1704272728.jpg
60,17000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4488667_uploaded_image1_1701916729.jpg
150,30000000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491805_uploaded_image1_1702077581.jpg
170,30000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4487782_uploaded_image1_1701871245.jpg
200,27000000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4523414_uploaded_image1_1704207444.jpg
357,300000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4487789_uploaded_image1_1701871457.jpg
